nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
SIENTRA INC 	COM	82621J105	181	21123	SH	DFND	21123	0	0
SIERRA WIRELESS INC 	COM	826516106	101	8193	SH	DFND	8193	0	0
SIERRA WIRELESS INC 	COM	826516106	37	3000	SH	DFND	3000	0	0
SIERRA WIRELESS INC 	COM	826516106	648	52400	SH	DFND	52400	0	0
SIGNATURE BK NEW YORK N Y 	COM	82669G104	4969	38800	SH	DFND	38800	0	0
SIGNATURE BK NEW YORK N Y 	COM	82669G104	1281	10000	SH	DFND	10000	0	0
SIGNET JEWELERS LIMITED 	SHS	G81276100	2462	90663	SH	DFND	90663	0	0
SIGNET JEWELERS LIMITED 	SHS	G81276100	2148	79100	SH	DFND	79100	0	0
SIGNET JEWELERS LIMITED 	SHS	G81276100	2591	95400	SH	DFND	95400	0	0
SILGAN HOLDINGS INC 	COM	827048109	320	10800	SH	DFND	10800	0	0
SILICON LABORATORIES INC 	COM	826919102	875	10815	SH	DFND	10815	0	0
SILICON LABORATORIES INC 	COM	826919102	865	10700	SH	DFND	10700	0	0
SILICON LABORATORIES INC 	COM	826919102	4625	57200	SH	DFND	57200	0	0
SILICON MOTION TECHNOLOGY CO 	SPONSORED ADR	82706C108	139	3512	SH	DFND	3512	0	0
SILICON MOTION TECHNOLOGY CO 	SPONSORED ADR	82706C108	8	200	SH	DFND	200	0	0
SILICON MOTION TECHNOLOGY CO 	SPONSORED ADR	82706C108	785	19800	SH	DFND	19800	0	0
SIMON PPTY GROUP INC NEW 	COM	828806109	5594	30700	SH	DFND	30700	0	0
SIMON PPTY GROUP INC NEW 	COM	828806109	4373	24000	SH	DFND	24000	0	0
SIMPLY GOOD FOODS CO	COM	82900L102	216	10513	SH	DFND	10513	0	0
SINA CORP 	ORD	G81477104	889	15000	SH	DFND	15000	0	0
SINA CORP 	ORD	G81477104	456	7700	SH	DFND	7700	0	0
SINCLAIR BROADCAST GROUP INC 	CL A	829226109	1647	42800	SH	DFND	42800	0	0
SINCLAIR BROADCAST GROUP INC 	CL A	829226109	19	500	SH	DFND	500	0	0
SITE CENTERS CORP	COM	82981J109	681	50000	SH	DFND	50000	0	0
SITE CENTERS CORP	COM	82981J109	90	6600	SH	DFND	6600	0	0
SIX FLAGS ENTMT CORP NEW	COM	83001A102	599	12129	SH	DFND	12129	0	0
SIX FLAGS ENTMT CORP NEW	COM	83001A102	854	17300	SH	DFND	17300	0	0
SIX FLAGS ENTMT CORP NEW	COM	83001A102	4999	101300	SH	DFND	101300	0	0
SKECHERS U S A INC	CL A	830566105	1147	34138	SH	DFND	34138	0	0
SKECHERS U S A INC	CL A	830566105	5936	176600	SH	DFND	176600	0	0
SKYWEST INC 	COM	830879102	787	14493	SH	DFND	14493	0	0
SKYWEST INC 	COM	830879102	179	3300	SH	DFND	3300	0	0
SKYWEST INC 	COM	830879102	2047	37700	SH	DFND	37700	0	0
SKYWORKS SOLUTIONS INC 	COM	83088M102	9485	115000	SH	DFND	115000	0	0
SKYWORKS SOLUTIONS INC 	COM	83088M102	5188	62900	SH	DFND	62900	0	0
SLEEP NUMBER CORP	COM	83125X103	1413	30059	SH	DFND	30059	0	0
SLM CORP 	COM	78442P106	99	10000	SH	DFND	10000	0	0
SMARTSHEET INC	COM CL A	83200N103	444	10873	SH	DFND	10873	0	0
SMARTSHEET INC	COM CL A	83200N103	4124	101100	SH	DFND	101100	0	0
SMARTSHEET INC	COM CL A	83200N103	2725	66800	SH	DFND	66800	0	0
SMITH & NEPHEW PLC 	SPDN ADR NEW	83175M205	2591	64588	SH	DFND	64588	0	0
SMITH A O CORP	COM	831865209	167	3136	SH	DFND	3136	0	0
SMITH A O CORP	COM	831865209	2693	50500	SH	DFND	50500	0	0
SMITH A O CORP	COM	831865209	880	16500	SH	DFND	16500	0	0
SMUCKER J M CO 	COM NEW	832696405	5305	45533	SH	DFND	45533	0	0
SMUCKER J M CO 	COM NEW	832696405	3879	33300	SH	DFND	33300	0	0
SMUCKER J M CO 	COM NEW	832696405	7538	64700	SH	DFND	64700	0	0
SNAP INC	CL A	83304A106	6363	577400	SH	DFND	577400	0	0
SNAP INC	CL A	83304A106	15705	1425100	SH	DFND	1425100	0	0
SNAP ON INC	COM	833034101	1581	10100	SH	DFND	10100	0	0
SNAP ON INC	COM	833034101	3412	21800	SH	DFND	21800	0	0
SOCIEDAD QUIMICA MINERA DE C	SPON ADR SER B	833635105	767	19961	SH	DFND	19961	0	0
SOCIEDAD QUIMICA MINERA DE C	SPON ADR SER B	833635105	1353	35200	SH	DFND	35200	0	0
SOHU COM LTD	SPONSORED ADS	83410S108	206	12400	SH	DFND	12400	0	0
SOHU COM LTD	SPONSORED ADS	83410S108	660	39800	SH	DFND	39800	0	0
SOLAREDGE TECHNOLOGIES INC 	COM	83417M104	848	22500	SH	DFND	22500	0	0
SOLAREDGE TECHNOLOGIES INC 	COM	83417M104	57	1500	SH	DFND	1500	0	0
SONIC AUTOMOTIVE INC	CL A	83545G102	37	2486	SH	DFND	2486	0	0
SONIC AUTOMOTIVE INC	CL A	83545G102	4	300	SH	DFND	300	0	0
SONIC AUTOMOTIVE INC	CL A	83545G102	240	16200	SH	DFND	16200	0	0
SONOCO PRODS CO	COM	835495102	3243	52700	SH	DFND	52700	0	0
SONOCO PRODS CO	COM	835495102	3372	54800	SH	DFND	54800	0	0
SONOS INC	COM	83570H108	944	91700	SH	DFND	91700	0	0
SONOS INC	COM	83570H108	112	10900	SH	DFND	10900	0	0
SONY CORP 	SPONSORED ADR	835699307	845	20000	SH	DFND	20000	0	0
SONY CORP 	SPONSORED ADR	835699307	5969	141300	SH	DFND	141300	0	0
SOTHEBYS 	COM	835898107	611	16176	SH	DFND	16176	0	0
SOTHEBYS 	COM	835898107	159	4200	SH	DFND	4200	0	0
SOTHEBYS 	COM	835898107	2416	64000	SH	DFND	64000	0	0
SOUTHERN CO 	COM	842587107	5204	100700	SH	DFND	100700	0	0
SOUTHERN CO 	COM	842587107	57	1100	SH	DFND	1100	0	0
SOUTHERN COPPER CORP	COM	84265V105	627	15800	SH	DFND	15800	0	0
SOUTHERN COPPER CORP	COM	84265V105	655	16500	SH	DFND	16500	0	0
SOUTHWEST AIRLS CO 	COM	844741108	2652	51088	SH	DFND	51088	0	0
SOUTHWEST AIRLS CO 	COM	844741108	2725	52500	SH	DFND	52500	0	0
SPARK NETWORKS SE	SPONSORED ADR	846517100	7980	501870	SH	DFND	501870	0	0
SPARTAN MTRS INC 	COM	846819100	115	13000	SH	DFND	13000	0	0
SPARTAN MTRS INC 	COM	846819100	9	1000	SH	DFND	1000	0	0
SPARTANNASH CO 	COM	847215100	84	5313	SH	DFND	5313	0	0
SPARTANNASH CO 	COM	847215100	56	3500	SH	DFND	3500	0	0
SPARTANNASH CO 	COM	847215100	714	45000	SH	DFND	45000	0	0
SPDR DOW JONES INDL AVRG ETF 	UT SER 1	78467X109	361	1392	SH	DFND	1392	0	0
SPDR DOW JONES INDL AVRG ETF 	UT SER 1	78467X109	777	3000	SH	DFND	3000	0	0
SPDR S&P 500 ETF TR 	TR UNIT	78462F103	113472	401700	SH	DFND	401700	0	0
SPDR S&P 500 ETF TR 	TR UNIT	78462F103	46863	165900	SH	DFND	165900	0	0
SPDR SERIES TRUST 	S&P REGL BKG	78464A698	5039	98157	SH	DFND	98157	0	0
SPDR SERIES TRUST 	S&P REGL BKG	78464A698	62	1200	SH	DFND	1200	0	0
SPDR SERIES TRUST 	S&P REGL BKG	78464A698	18523	360800	SH	DFND	360800	0	0
SPDR SERIES TRUST 	S&P RETAIL ETF	78464A714	2159	47975	SH	DFND	47975	0	0
SPDR SERIES TRUST 	S&P RETAIL ETF	78464A714	1350	30000	SH	DFND	30000	0	0
SPDR SERIES TRUST 	S&P RETAIL ETF	78464A714	3151	70000	SH	DFND	70000	0	0
SPDR SERIES TRUST 	S&P OILGAS EXP	78464A730	2938	95572	SH	DFND	95572	0	0
SPDR SERIES TRUST 	S&P OILGAS EXP	78464A730	1537	50000	SH	DFND	50000	0	0
SPDR SERIES TRUST 	S&P OILGAS EXP	78464A730	31853	1036200	SH	DFND	1036200	0	0
SPDR SERIES TRUST 	S&P BK ETF	78464A797	2135	51106	SH	DFND	51106	0	0
SPDR SERIES TRUST 	S&P BK ETF	78464A797	5221	125000	SH	DFND	125000	0	0
SPDR SERIES TRUST 	S&P BIOTECH	78464A870	36451	402600	SH	DFND	402600	0	0
SPDR SERIES TRUST 	S&P BIOTECH	78464A870	35492	392000	SH	DFND	392000	0	0
SPECTRUM BRANDS HLDGS INC NE	COM	84790A105	239	4359	SH	DFND	4359	0	0
SPECTRUM BRANDS HLDGS INC NE	COM	84790A105	137	2500	SH	DFND	2500	0	0
SPECTRUM BRANDS HLDGS INC NE	COM	84790A105	2476	45200	SH	DFND	45200	0	0
SPIRIT AEROSYSTEMS HLDGS INC 	COM CL A	848574109	208	2270	SH	DFND	2270	0	0
SPIRIT AEROSYSTEMS HLDGS INC 	COM CL A	848574109	2700	29500	SH	DFND	29500	0	0
SPIRIT AEROSYSTEMS HLDGS INC 	COM CL A	848574109	3368	36800	SH	DFND	36800	0	0
SPIRIT AIRLS INC 	COM	848577102	1855	35085	SH	DFND	35085	0	0
SPIRIT AIRLS INC 	COM	848577102	1966	37200	SH	DFND	37200	0	0
SPIRIT AIRLS INC 	COM	848577102	6274	118700	SH	DFND	118700	0	0
SPIRIT RLTY CAP INC NEW	COM NEW	84860W300	322	8100	SH	DFND	8100	0	0
SPIRIT RLTY CAP INC NEW	COM NEW	84860W300	640	16100	SH	DFND	16100	0	0
SPLUNK INC 	COM	848637104	8188	65718	SH	DFND	65718	0	0
SPLUNK INC 	COM	848637104	13046	104700	SH	DFND	104700	0	0
SPLUNK INC 	COM	848637104	3576	28700	SH	DFND	28700	0	0
SPONSORD ADS NEW	SPONSORD ADS NEW	16965P202	279	16500	SH	DFND	16500	0	0
SPOTIFY TECHNOLOGY S A	SHS	L8681T102	7988	57554	SH	DFND	57554	0	0
SPOTIFY TECHNOLOGY S A	SHS	L8681T102	10271	74000	SH	DFND	74000	0	0
SPOTIFY TECHNOLOGY S A	SHS	L8681T102	11257	81100	SH	DFND	81100	0	0
SPRAGUE RES LP 	COM UNIT REP LTD	849343108	61	3305	SH	DFND	3305	0	0
SPRAGUE RES LP 	COM UNIT REP LTD	849343108	270	14600	SH	DFND	14600	0	0
SPRAGUE RES LP 	COM UNIT REP LTD	849343108	641	34700	SH	DFND	34700	0	0
SPROUTS FMRS MKT INC 	COM	85208M102	1437	66736	SH	DFND	66736	0	0
SPROUTS FMRS MKT INC 	COM	85208M102	754	35000	SH	DFND	35000	0	0
SPROUTS FMRS MKT INC 	COM	85208M102	2524	117200	SH	DFND	117200	0	0
SPS COMMERCE INC 	COM	78463M107	5303	50000	SH	DFND	50000	0	0
SPX CORP	COM	784635104	3458	99400	SH	DFND	99400	0	0
SPX CORP	COM	784635104	584	16800	SH	DFND	16800	0	0
SQUARE INC 	CL A	852234103	6213	82923	SH	DFND	82923	0	0
SQUARE INC 	CL A	852234103	32365	432000	SH	DFND	432000	0	0
SQUARE INC 	CL A	852234103	82884	1106300	SH	DFND	1106300	0	0
SS&C TECHNOLOGIES HLDGS INC 	COM	78467J100	86	1358	SH	DFND	1358	0	0
SS&C TECHNOLOGIES HLDGS INC 	COM	78467J100	815	12800	SH	DFND	12800	0	0
SS&C TECHNOLOGIES HLDGS INC 	COM	78467J100	1605	25200	SH	DFND	25200	0	0
SSR MNG INC 	COM	784730103	4820	380700	SH	DFND	380700	0	0
SSR MNG INC 	COM	784730103	2698	213100	SH	DFND	213100	0	0
ST JOE CO 	COM	790148100	79	4805	SH	DFND	4805	0	0
ST JOE CO 	COM	790148100	645	39100	SH	DFND	39100	0	0
STAAR SURGICAL CO 	COM PAR $0.01	852312305	503	14700	SH	DFND	14700	0	0
STAG INDL INC 	COM	85254J102	56	1900	SH	DFND	1900	0	0
STAG INDL INC 	COM	85254J102	557	18800	SH	DFND	18800	0	0
STAMPS COM INC 	COM NEW	852857200	1556	19116	SH	DFND	19116	0	0
STAMPS COM INC 	COM NEW	852857200	3924	48200	SH	DFND	48200	0	0
STANDEX INTL CORP	COM	854231107	73	1000	SH	DFND	1000	0	0
STANDEX INTL CORP	COM	854231107	514	7000	SH	DFND	7000	0	0
STANLEY BLACK & DECKER INC	COM	854502101	6834	50184	SH	DFND	50184	0	0
STANLEY BLACK & DECKER INC	COM	854502101	1117	8200	SH	DFND	8200	0	0
STANLEY BLACK & DECKER INC	COM	854502101	3704	27200	SH	DFND	27200	0	0
STAR BULK CARRIERS CORP 	SHS PAR	Y8162K204	102	15463	SH	DFND	15463	0	0
STAR BULK CARRIERS CORP 	SHS PAR	Y8162K204	87	13200	SH	DFND	13200	0	0
STARBUCKS CORP	COM	855244109	8229	110700	SH	DFND	110700	0	0
STARBUCKS CORP	COM	855244109	5419	72900	SH	DFND	72900	0	0
STARS GROUP INC 	COM	85570W100	1842	105184	SH	DFND	105184	0	0
STARWOOD PPTY TR INC 	COM	85571B105	726	32500	SH	DFND	32500	0	0
STARWOOD PPTY TR INC 	COM	85571B105	45	2000	SH	DFND	2000	0	0
STEEL DYNAMICS INC 	COM	858119100	609	17270	SH	DFND	17270	0	0
STEEL DYNAMICS INC 	COM	858119100	1030	29200	SH	DFND	29200	0	0
STERICYCLE INC	COM	858912108	6661	122400	SH	DFND	122400	0	0
STERICYCLE INC	COM	858912108	2922	53700	SH	DFND	53700	0	0
STERIS PLC	SHS USD	G8473T100	2970	23200	SH	DFND	23200	0	0
STERIS PLC	SHS USD	G8473T100	3815	29800	SH	DFND	29800	0	0
STIFEL FINL CORP 	COM	860630102	475	9000	SH	DFND	9000	0	0
STIFEL FINL CORP 	COM	860630102	533	10100	SH	DFND	10100	0	0
STITCH FIX INC 	COM CL A	860897107	49	1744	SH	DFND	1744	0	0
STITCH FIX INC 	COM CL A	860897107	531	18800	SH	DFND	18800	0	0
STMICROELECTRONICS N V 	NY REGISTRY	861012102	1507	101500	SH	DFND	101500	0	0
STMICROELECTRONICS N V 	NY REGISTRY	861012102	891	60000	SH	DFND	60000	0	0
STONECO LTD	COM CL A	G85158106	518	12600	SH	DFND	12600	0	0
STONECO LTD	COM CL A	G85158106	1488	36200	SH	DFND	36200	0	0
STORE CAP CORP 	COM	862121100	74	2200	SH	DFND	2200	0	0
STORE CAP CORP 	COM	862121100	529	15800	SH	DFND	15800	0	0
STRATASYS LTD 	SHS	M85548101	2951	123872	SH	DFND	123872	0	0
STRATASYS LTD 	SHS	M85548101	71	3000	SH	DFND	3000	0	0
STRATASYS LTD 	SHS	M85548101	3711	155800	SH	DFND	155800	0	0
STRATEGIC ED INC	COM	86272C103	1090	8300	SH	DFND	8300	0	0
STRYKER CORP 	COM	863667101	3279	16600	SH	DFND	16600	0	0
STRYKER CORP 	COM	863667101	1383	7000	SH	DFND	7000	0	0
STURM RUGER & CO INC	COM	864159108	164	3102	SH	DFND	3102	0	0
STURM RUGER & CO INC	COM	864159108	822	15500	SH	DFND	15500	0	0
SUMMIT MATLS INC	CL A	86614U100	786	49521	SH	DFND	49521	0	0
SUMMIT MATLS INC	CL A	86614U100	1395	87900	SH	DFND	87900	0	0
SUMMIT MIDSTREAM PARTNERS LP 	COM UNIT LTD	866142102	664	68200	SH	DFND	68200	0	0
SUMMIT MIDSTREAM PARTNERS LP 	COM UNIT LTD	866142102	98	10100	SH	DFND	10100	0	0
SUN CMNTYS INC 	COM	866674104	996	8400	SH	DFND	8400	0	0
SUN HYDRAULICS CORP	COM	866942105	906	19470	SH	DFND	19470	0	0
SUN HYDRAULICS CORP	COM	866942105	646	13900	SH	DFND	13900	0	0
SUN HYDRAULICS CORP	COM	866942105	2656	57100	SH	DFND	57100	0	0
SUNCOKE ENERGY INC 	COM	86722A103	735	86617	SH	DFND	86617	0	0
SUNCOKE ENERGY INC 	COM	86722A103	303	35700	SH	DFND	35700	0	0
SUNCOKE ENERGY INC 	COM	86722A103	3843	452700	SH	DFND	452700	0	0
SUNCOR ENERGY INC NEW 	COM	867224107	756	23300	SH	DFND	23300	0	0
SUNCOR ENERGY INC NEW 	COM	867224107	486	15000	SH	DFND	15000	0	0
SUNOCO LP	COM U REP LP	86765K109	826	26500	SH	DFND	26500	0	0
SUNOCO LP	COM U REP LP	86765K109	605	19400	SH	DFND	19400	0	0
SUNRUN INC	COM	86771W105	1308	93027	SH	DFND	93027	0	0
SUNRUN INC	COM	86771W105	96	6800	SH	DFND	6800	0	0
SUNRUN INC	COM	86771W105	3522	250500	SH	DFND	250500	0	0
SUNTRUST BKS INC 	COM	867914103	1210	20428	SH	DFND	20428	0	0
SUNTRUST BKS INC 	COM	867914103	794	13400	SH	DFND	13400	0	0
SUNTRUST BKS INC 	COM	867914103	936	15800	SH	DFND	15800	0	0
SUPERIOR INDS INTL INC 	COM	868168105	123	25861	SH	DFND	25861	0	0
SUPERIOR INDS INTL INC 	COM	868168105	190	39900	SH	DFND	39900	0	0
SUPERIOR INDS INTL INC 	COM	868168105	305	64000	SH	DFND	64000	0	0
SVB FINL GROUP 	COM	78486Q101	1342	6034	SH	DFND	6034	0	0
SVB FINL GROUP 	COM	78486Q101	10607	47700	SH	DFND	47700	0	0
SVMK INC	COM	78489X103	335	18400	SH	DFND	18400	0	0
SWITCH INC	CL A	87105L104	1406	136400	SH	DFND	136400	0	0
SWITCH INC	CL A	87105L104	1394	135200	SH	DFND	135200	0	0
SYMANTEC CORP 	COM	871503108	1771	77014	SH	DFND	77014	0	0
SYMANTEC CORP 	COM	871503108	7355	319900	SH	DFND	319900	0	0
SYNAPTICS INC 	COM	87157D109	7556	190100	SH	DFND	190100	0	0
SYNAPTICS INC 	COM	87157D109	17252	434000	SH	DFND	434000	0	0
SYNCHRONY FINL	COM	87165B103	10062	315428	SH	DFND	315428	0	0
SYNCHRONY FINL	COM	87165B103	306	9600	SH	DFND	9600	0	0
SYNCHRONY FINL	COM	87165B103	20722	649600	SH	DFND	649600	0	0
SYNNEX CORP 	COM	87162W100	1250	13100	SH	DFND	13100	0	0
SYNNEX CORP 	COM	87162W100	2080	21800	SH	DFND	21800	0	0
SYNOPSYS INC 	COM	871607107	5475	47551	SH	DFND	47551	0	0
SYNOPSYS INC 	COM	871607107	5101	44300	SH	DFND	44300	0	0
SYNOPSYS INC 	COM	871607107	46	400	SH	DFND	400	0	0
SYNOVUS FINL CORP 	COM NEW	87161C501	3710	107987	SH	DFND	107987	0	0
SYNOVUS FINL CORP 	COM NEW	87161C501	1075	31300	SH	DFND	31300	0	0
SYNOVUS FINL CORP 	COM NEW	87161C501	8295	241400	SH	DFND	241400	0	0
SYSCO CORP	COM	871829107	1028	15400	SH	DFND	15400	0	0
SYSCO CORP	COM	871829107	3004	45000	SH	DFND	45000	0	0
TABLEAU SOFTWARE INC 	CL A	87336U105	11763	92417	SH	DFND	92417	0	0
TABLEAU SOFTWARE INC 	CL A	87336U105	4264	33500	SH	DFND	33500	0	0
TABLEAU SOFTWARE INC 	CL A	87336U105	7751	60900	SH	DFND	60900	0	0
TABULA RASA HEALTHCARE INC 	COM	873379101	1382	24500	SH	DFND	24500	0	0
TABULA RASA HEALTHCARE INC 	COM	873379101	401	7100	SH	DFND	7100	0	0
TACTILE SYS TECHNOLOGY INC 	COM	87357P100	802	15217	SH	DFND	15217	0	0
TACTILE SYS TECHNOLOGY INC 	COM	87357P100	3680	69800	SH	DFND	69800	0	0
TACTILE SYS TECHNOLOGY INC 	COM	87357P100	2156	40900	SH	DFND	40900	0	0
TAILORED BRANDS INC	COM	87403A107	720	91790	SH	DFND	91790	0	0
TAILORED BRANDS INC	COM	87403A107	2054	262000	SH	DFND	262000	0	0
TAIWAN SEMICONDUCTOR MFG LTD	SPONSORED ADS	874039100	751	18326	SH	DFND	18326	0	0
TAIWAN SEMICONDUCTOR MFG LTD	SPONSORED ADS	874039100	885	21600	SH	DFND	21600	0	0
TAIWAN SEMICONDUCTOR MFG LTD	SPONSORED ADS	874039100	1556	38000	SH	DFND	38000	0	0
TAKEDA PHARMACEUTICAL CO LTD	SPONSORED ADS	874060205	113	5567	SH	DFND	5567	0	0
TAKEDA PHARMACEUTICAL CO LTD	SPONSORED ADS	874060205	167	8200	SH	DFND	8200	0	0
TAKE-TWO INTERACTIVE SOFTWAR 	COM	874054109	8762	92849	SH	DFND	92849	0	0
TAKE-TWO INTERACTIVE SOFTWAR 	COM	874054109	3284	34800	SH	DFND	34800	0	0
TAKE-TWO INTERACTIVE SOFTWAR 	COM	874054109	18393	194900	SH	DFND	194900	0	0
TAL EDUCATION GROUP	SPONSORED ADS	874080104	1167	32339	SH	DFND	32339	0	0
TAL EDUCATION GROUP	SPONSORED ADS	874080104	361	10000	SH	DFND	10000	0	0
TAL EDUCATION GROUP	SPONSORED ADS	874080104	25169	697600	SH	DFND	697600	0	0
TALLGRASS ENERGY LP	CLASS A SHS	874696107	1073	42700	SH	DFND	42700	0	0
TALLGRASS ENERGY LP	CLASS A SHS	874696107	126	5000	SH	DFND	5000	0	0
TANDEM DIABETES CARE INC 	COM NEW	875372203	1391	21900	SH	DFND	21900	0	0
TANGER FACTORY OUTLET CTRS I 	COM	875465106	1760	83900	SH	DFND	83900	0	0
TANGER FACTORY OUTLET CTRS I 	COM	875465106	1464	69800	SH	DFND	69800	0	0
TARGA RES CORP 	COM	87612G101	5003	120402	SH	DFND	120402	0	0
TARGA RES CORP 	COM	87612G101	1596	38400	SH	DFND	38400	0	0
TARGA RES CORP 	COM	87612G101	25026	602300	SH	DFND	602300	0	0
TARGET CORP 	COM	87612E106	3927	48933	SH	DFND	48933	0	0
TARGET CORP 	COM	87612E106	10209	127200	SH	DFND	127200	0	0
TARGET CORP 	COM	87612E106	48	600	SH	DFND	600	0	0
TATA MTRS LTD	SPONSORED ADR	876568502	919	73190	SH	DFND	73190	0	0
TATA MTRS LTD	SPONSORED ADR	876568502	319	25400	SH	DFND	25400	0	0
TATA MTRS LTD	SPONSORED ADR	876568502	1108	88200	SH	DFND	88200	0	0
TAUBMAN CTRS INC 	COM	876664103	587	11100	SH	DFND	11100	0	0
TC PIPELINES LP 	UT COM LTD PRT	87233Q108	3041	81400	SH	DFND	81400	0	0
TC PIPELINES LP 	UT COM LTD PRT	87233Q108	407	10900	SH	DFND	10900	0	0
TCG BDC INC	COM	872280102	40	2792	SH	DFND	2792	0	0
TCG BDC INC	COM	872280102	368	25400	SH	DFND	25400	0	0
TD AMERITRADE HLDG CORP 	COM	87236Y108	940	18800	SH	DFND	18800	0	0
TECH DATA CORP 	COM	878237106	2371	23151	SH	DFND	23151	0	0
TECH DATA CORP 	COM	878237106	891	8700	SH	DFND	8700	0	0
TECH DATA CORP 	COM	878237106	3625	35400	SH	DFND	35400	0	0
TECHNIPFMC PLC 	COM	G87110105	2345	99700	SH	DFND	99700	0	0
TECHTARGET INC 	COM	87874R100	61	3757	SH	DFND	3757	0	0
TECHTARGET INC 	COM	87874R100	415	25500	SH	DFND	25500	0	0
TECK RESOURCES LTD 	CL B	878742204	152	6536	SH	DFND	6536	0	0
TECK RESOURCES LTD 	CL B	878742204	2	100	SH	DFND	100	0	0
TECK RESOURCES LTD 	CL B	878742204	628	27100	SH	DFND	27100	0	0
TEEKAY CORPORATION 	COM	Y8564W103	173	44119	SH	DFND	44119	0	0
TEEKAY LNG PARTNERS L P 	PRTNRSP UNITS	Y8564M105	274	18340	SH	DFND	18340	0	0
TEEKAY LNG PARTNERS L P 	PRTNRSP UNITS	Y8564M105	367	24500	SH	DFND	24500	0	0
TEGNA INC 	COM	87901J105	590	41876	SH	DFND	41876	0	0
TEGNA INC 	COM	87901J105	102	7200	SH	DFND	7200	0	0
TEGNA INC 	COM	87901J105	1	100	SH	DFND	100	0	0
TELADOC HEALTH INC	COM	87918A105	1241	22316	SH	DFND	22316	0	0
TELADOC HEALTH INC	COM	87918A105	2680	48200	SH	DFND	48200	0	0
TELADOC HEALTH INC	COM	87918A105	22896	411800	SH	DFND	411800	0	0
TELEDYNE TECHNOLOGIES INC 	COM	879360105	183	771	SH	DFND	771	0	0
TELEDYNE TECHNOLOGIES INC 	COM	879360105	2038	8600	SH	DFND	8600	0	0
TELEDYNE TECHNOLOGIES INC 	COM	879360105	3603	15200	SH	DFND	15200	0	0
TELEFLEX INC 	COM	879369106	1449	4797	SH	DFND	4797	0	0
TELEFLEX INC 	COM	879369106	1390	4600	SH	DFND	4600	0	0
TELEPHONE & DATA SYS INC 	COM NEW	879433829	4714	153400	SH	DFND	153400	0	0
TEMPUR SEALY INTL INC	COM	88023U101	3304	57288	SH	DFND	57288	0	0
TEMPUR SEALY INTL INC	COM	88023U101	1153	20000	SH	DFND	20000	0	0
TEMPUR SEALY INTL INC	COM	88023U101	3195	55400	SH	DFND	55400	0	0
TENABLE HLDGS INC	COM	88025T102	890	28100	SH	DFND	28100	0	0
TENABLE HLDGS INC	COM	88025T102	76	2400	SH	DFND	2400	0	0
TENARIS S A	SPONSORED ADS	88031M109	1783	63100	SH	DFND	63100	0	0
TENARIS S A	SPONSORED ADS	88031M109	3291	116500	SH	DFND	116500	0	0
TENCENT MUSIC ENTMT GROUP	SPON ADS	88034P109	5814	321200	SH	DFND	321200	0	0
TENCENT MUSIC ENTMT GROUP	SPON ADS	88034P109	2581	142600	SH	DFND	142600	0	0
TENET HEALTHCARE CORP 	COM NEW	88033G407	1258	43603	SH	DFND	43603	0	0
TENET HEALTHCARE CORP 	COM NEW	88033G407	3	100	SH	DFND	100	0	0
TENET HEALTHCARE CORP 	COM NEW	88033G407	986	34200	SH	DFND	34200	0	0
TENNECO INC	CL A VTG COM STK	880349105	6081	274409	SH	DFND	274409	0	0
TENNECO INC	CL A VTG COM STK	880349105	1405	63400	SH	DFND	63400	0	0
TENNECO INC	CL A VTG COM STK	880349105	9072	409400	SH	DFND	409400	0	0
TERADATA CORP DEL 	COM	88076W103	7643	175100	SH	DFND	175100	0	0
TERADATA CORP DEL 	COM	88076W103	655	15000	SH	DFND	15000	0	0
TERADYNE INC	COM	880770102	307	7710	SH	DFND	7710	0	0
TERADYNE INC	COM	880770102	2343	58800	SH	DFND	58800	0	0
TEREX CORP NEW 	COM	880779103	60	1878	SH	DFND	1878	0	0
TEREX CORP NEW 	COM	880779103	283	8800	SH	DFND	8800	0	0
TEREX CORP NEW 	COM	880779103	668	20800	SH	DFND	20800	0	0
TERRAFORM PWR INC 	COM CL A	88104R209	4401	320300	SH	DFND	320300	0	0
TERRAFORM PWR INC 	COM CL A	88104R209	2205	160500	SH	DFND	160500	0	0
TESLA INC 	COM	88160R101	25506	91137	SH	DFND	91137	0	0
TESLA INC 	COM	88160R101	166069	593400	SH	DFND	593400	0	0
TESLA INC 	COM	88160R101	122271	436900	SH	DFND	436900	0	0
TETRA TECH INC NEW 	COM	88162G103	751	12609	SH	DFND	12609	0	0
TETRA TECH INC NEW 	COM	88162G103	5393	90500	SH	DFND	90500	0	0
TEVA PHARMACEUTICAL INDS LTD	SPONSORED ADS	881624209	3785	241392	SH	DFND	241392	0	0
TEVA PHARMACEUTICAL INDS LTD	SPONSORED ADS	881624209	8150	519800	SH	DFND	519800	0	0
TEVA PHARMACEUTICAL INDS LTD	SPONSORED ADS	881624209	10581	674800	SH	DFND	674800	0	0
TEXAS CAPITAL BANCSHARES INC 	COM	88224Q107	3452	63244	SH	DFND	63244	0	0
TEXAS CAPITAL BANCSHARES INC 	COM	88224Q107	568	10400	SH	DFND	10400	0	0
TEXAS CAPITAL BANCSHARES INC 	COM	88224Q107	10137	185700	SH	DFND	185700	0	0
