nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
CBS CORP NEW	CL B	124857202	3145	66165	SH	SOLE	66165	0	0
CDK GLOBAL INC	COM	12508E101	12931	219832	SH	SOLE	219832	0	0
CDW CORP	COM	12514G108	660	6847	SH	SOLE	6847	0	0
CEDAR REALTY TRUST INC	COM NEW	150602209	41	12101	SH	SOLE	12101	0	0
CELANESE CORP DEL	COM	150870103	2311	23440	SH	SOLE	23440	0	0
CELGENE CORP	COM	151020104	72389	767321	SH	SOLE	767321	0	0
CENTENE CORP DEL	COM	15135B101	5935	111771	SH	SOLE	111771	0	0
CENTENNIAL RESOURCE DEV INC	CL A	15136A102	100	11384	SH	SOLE	11384	0	0
CENTERPOINT ENERGY INC	COM	15189T107	4626	150671	SH	SOLE	150671	0	0
CENTERSTATE BK CORP	COM	15201P109	237	9969	SH	SOLE	9969	0	0
CENTURYLINK INC	COM	156700106	4629	386069	SH	SOLE	386069	0	0
CERNER CORP	COM	156782104	16067	280849	SH	SOLE	280849	0	0
CERUS CORP	COM	157085101	381	61156	SH	SOLE	61156	0	0
CF INDS HLDGS INC	COM	125269100	3270	79984	SH	SOLE	79984	0	0
CHARLES RIV LABS INTL INC	COM	159864107	861	5926	SH	SOLE	5926	0	0
CHART INDS INC	COM PAR $0.01	16115Q308	386	4259	SH	SOLE	4259	0	0
CHARTER COMMUNICATIONS INC N	CL A	16119P108	57274	165098	SH	SOLE	165098	0	0
CHECK POINT SOFTWARE TECH LT	ORD	M22465104	12031	95118	SH	SOLE	95118	0	0
CHEESECAKE FACTORY INC	COM	163072101	403	8237	SH	SOLE	8237	0	0
CHEGG INC	COM	163092109	3630	95218	SH	SOLE	95218	0	0
CHEMED CORP NEW	COM	16359R103	627	1960	SH	SOLE	1960	0	0
CHEMICAL FINL CORP	COM	163731102	938	22790	SH	SOLE	22790	0	0
CHEMOCENTRYX INC	COM	16383L106	272	19606	SH	SOLE	19606	0	0
CHEMOURS CO	COM	163851108	894	24055	SH	SOLE	24055	0	0
CHENIERE ENERGY INC	COM NEW	16411R208	904	13221	SH	SOLE	13221	0	0
CHESAPEAKE ENERGY CORP	COM	165167107	465	150058	SH	SOLE	150058	0	0
CHESAPEAKE LODGING TR	SH BEN INT	165240102	228	8198	SH	SOLE	8198	0	0
CHESAPEAKE UTILS CORP	COM	165303108	9733	106711	SH	SOLE	106711	0	0
CHEVRON CORP NEW	COM	166764100	147013	1193485	SH	SOLE	1193485	0	0
CHICOS FAS INC	COM	168615102	73	17143	SH	SOLE	17143	0	0
CHILDRENS PL INC	COM	168905107	212	2175	SH	SOLE	2175	0	0
CHIMERA INVT CORP	COM NEW	16934Q208	799	42621	SH	SOLE	42621	0	0
CHINA BIOLOGIC PRODS HLDGS I	COM	G21515104	1220	13372	SH	SOLE	13372	0	0
CHIPOTLE MEXICAN GRILL INC	COM	169656105	2083	2932	SH	SOLE	2932	0	0
CHUBB LIMITED	COM	H1467J104	92782	662348	SH	SOLE	662348	0	0
CHURCH & DWIGHT INC	COM	171340102	4727	66360	SH	SOLE	66360	0	0
CHURCHILL DOWNS INC	COM	171484108	626	6933	SH	SOLE	6933	0	0
CIENA CORP	COM NEW	171779309	1285	34420	SH	SOLE	34420	0	0
CIGNA CORP NEW	COM	125523100	9591	59635	SH	SOLE	59635	0	0
CIMAREX ENERGY CO	COM	171798101	2295	32830	SH	SOLE	32830	0	0
CINCINNATI FINL CORP	COM	172062101	81912	953578	SH	SOLE	953578	0	0
CINEMARK HOLDINGS INC	COM	17243V102	374	9349	SH	SOLE	9349	0	0
CINTAS CORP	COM	172908105	95124	470654	SH	SOLE	470654	0	0
CIRRUS LOGIC INC	COM	172755100	703	16703	SH	SOLE	16703	0	0
CISCO SYS INC	COM	17275R102	196317	3636165	SH	SOLE	3636165	0	0
CIT GROUP INC	COM NEW	125581801	619	12913	SH	SOLE	12913	0	0
CITIGROUP INC	COM NEW	172967424	43057	692011	SH	SOLE	692011	0	0
CITIZENS FINL GROUP INC	COM	174610105	6391	196648	SH	SOLE	196648	0	0
CITRIX SYS INC	COM	177376100	12378	124198	SH	SOLE	124198	0	0
CLEAN ENERGY FUELS CORP	COM	184499101	46	14920	SH	SOLE	14920	0	0
CLEAN HARBORS INC	COM	184496107	320	4467	SH	SOLE	4467	0	0
CLEVELAND CLIFFS INC	COM	185899101	319	31959	SH	SOLE	31959	0	0
CLOROX CO DEL	COM	189054109	81827	509953	SH	SOLE	509953	0	0
CLOUDERA INC	COM	18914U100	239	21812	SH	SOLE	21812	0	0
CLOVIS ONCOLOGY INC	COM	189464100	627	25280	SH	SOLE	25280	0	0
CME GROUP INC	COM CL A	12572Q105	18398	111788	SH	SOLE	111788	0	0
CMS ENERGY CORP	COM	125896100	2009	36169	SH	SOLE	36169	0	0
CNO FINL GROUP INC	COM	12621E103	838	51794	SH	SOLE	51794	0	0
CNX RESOURCES CORPORATION	COM	12653C108	306	28434	SH	SOLE	28434	0	0
COCA COLA CO	COM	191216100	103320	2204858	SH	SOLE	2204858	0	0
COEUR MNG INC	COM NEW	192108504	84	20592	SH	SOLE	20592	0	0
COGENT COMMUNICATIONS HLDGS	COM NEW	19239V302	312	5755	SH	SOLE	5755	0	0
COGNEX CORP	COM	192422103	759	14919	SH	SOLE	14919	0	0
COGNIZANT TECHNOLOGY SOLUTIO	CL A	192446102	35272	486847	SH	SOLE	486847	0	0
COHERENT INC	COM	192479103	301	2125	SH	SOLE	2125	0	0
COHERUS BIOSCIENCES INC	COM	19249H103	398	29171	SH	SOLE	29171	0	0
COLFAX CORP	COM	194014106	249	8377	SH	SOLE	8377	0	0
COLGATE PALMOLIVE CO	COM	194162103	86816	1266652	SH	SOLE	1266652	0	0
COLLEGIUM PHARMACEUTICAL INC	COM	19459J104	220	14506	SH	SOLE	14506	0	0
COLONY CAP INC NEW	CL A COM	19626G108	595	111807	SH	SOLE	111807	0	0
COLUMBIA BKG SYS INC	COM	197236102	329	10063	SH	SOLE	10063	0	0
COLUMBIA PPTY TR INC	COM NEW	198287203	599	26616	SH	SOLE	26616	0	0
COMCAST CORP NEW	CL A	20030N101	136309	3409420	SH	SOLE	3409420	0	0
COMERICA INC	COM	200340107	3328	45392	SH	SOLE	45392	0	0
COMFORT SYS USA INC	COM	199908104	264	5046	SH	SOLE	5046	0	0
COMMERCE BANCSHARES INC	COM	200525103	11337	195261	SH	SOLE	195261	0	0
COMMERCIAL METALS CO	COM	201723103	507	29691	SH	SOLE	29691	0	0
COMMSCOPE HLDG CO INC	COM	20337X109	203	9359	SH	SOLE	9359	0	0
COMMUNITY BK SYS INC	COM	203607106	9194	153821	SH	SOLE	153821	0	0
COMMUNITY HEALTH SYS INC NEW	COM	203668108	49	13154	SH	SOLE	13154	0	0
COMMVAULT SYSTEMS INC	COM	204166102	602	9303	SH	SOLE	9303	0	0
COMPASS MINERALS INTL INC	COM	20451N101	10260	188710	SH	SOLE	188710	0	0
CONAGRA BRANDS INC	COM	205887102	2612	94159	SH	SOLE	94159	0	0
CONCERT PHARMACEUTICALS INC	COM	206022105	124	10307	SH	SOLE	10307	0	0
CONCHO RES INC	COM	20605P101	6216	56018	SH	SOLE	56018	0	0
CONMED CORP	COM	207410101	290	3487	SH	SOLE	3487	0	0
CONNECTICUT WTR SVC INC	COM	207797101	9799	142745	SH	SOLE	142745	0	0
CONOCOPHILLIPS	COM	20825C104	17491	262081	SH	SOLE	262081	0	0
CONSOLIDATED EDISON INC	COM	209115104	82578	973686	SH	SOLE	973686	0	0
CONSTELLATION BRANDS INC	CL A	21036P108	6615	37731	SH	SOLE	37731	0	0
CONTINENTAL RESOURCES INC	COM	212015101	233	5200	SH	SOLE	5200	0	0
COOPER COS INC	COM NEW	216648402	2281	7701	SH	SOLE	7701	0	0
COOPER TIRE & RUBR CO	COM	216831107	209	7003	SH	SOLE	7003	0	0
COPART INC	COM	217204106	1466	24199	SH	SOLE	24199	0	0
CORBUS PHARMACEUTICALS HLDGS	COM	21833P103	189	27226	SH	SOLE	27226	0	0
CORCEPT THERAPEUTICS INC	COM	218352102	160	13627	SH	SOLE	13627	0	0
CORE LABORATORIES N V	COM	N22717107	435	6315	SH	SOLE	6315	0	0
CORE MARK HOLDING CO INC	COM	218681104	236	6363	SH	SOLE	6363	0	0
CORECIVIC INC	COM	21871N101	969	49830	SH	SOLE	49830	0	0
CORELOGIC INC	COM	21871D103	262	7028	SH	SOLE	7028	0	0
CORESITE RLTY CORP	COM	21870Q105	1217	11370	SH	SOLE	11370	0	0
CORNERSTONE ONDEMAND INC	COM	21925Y103	324	5914	SH	SOLE	5914	0	0
CORNING INC	COM	219350105	3147	95067	SH	SOLE	95067	0	0
CORPORATE OFFICE PPTYS TR	SH BEN INT	22002T108	934	34198	SH	SOLE	34198	0	0
COSTAR GROUP INC	COM	22160N109	3858	8271	SH	SOLE	8271	0	0
COSTCO WHSL CORP NEW	COM	22160K105	78166	322812	SH	SOLE	322812	0	0
COTY INC	COM CL A	222070203	616	53591	SH	SOLE	53591	0	0
COUPA SOFTWARE INC	COM	22266L106	553	6073	SH	SOLE	6073	0	0
COUSINS PPTYS INC	COM	222795106	1701	176066	SH	SOLE	176066	0	0
COVANTA HLDG CORP	COM	22282E102	232	13413	SH	SOLE	13413	0	0
COVETRUS INC	COM	22304C100	374	11744	SH	SOLE	11744	0	0
CRACKER BARREL OLD CTRY STOR	COM	22410J106	10770	66645	SH	SOLE	66645	0	0
CRANE CO	COM	224399105	377	4454	SH	SOLE	4454	0	0
CREDIT ACCEP CORP MICH	COM	225310101	698	1545	SH	SOLE	1545	0	0
CREE INC	COM	225447101	1666	29114	SH	SOLE	29114	0	0
CRINETICS PHARMACEUTICALS IN	COM	22663K107	207	9098	SH	SOLE	9098	0	0
CRISPR THERAPEUTICS AG	NAMEN AKT	H17182108	634	17760	SH	SOLE	17760	0	0
CROCS INC	COM	227046109	235	9120	SH	SOLE	9120	0	0
CROWN CASTLE INTL CORP NEW	COM	22822V101	18249	142573	SH	SOLE	142573	0	0
CSX CORP	COM	126408103	45603	609499	SH	SOLE	609499	0	0
CTRIP COM INTL LTD	SPONSORED ADS	22943F100	12952	296446	SH	SOLE	296446	0	0
CUBESMART	COM	229663109	1357	42345	SH	SOLE	42345	0	0
CUBIC CORP	COM	229669106	238	4225	SH	SOLE	4225	0	0
CULLEN FROST BANKERS INC	COM	229899109	11678	120303	SH	SOLE	120303	0	0
CUMMINS INC	COM	231021106	2767	17528	SH	SOLE	17528	0	0
CURTISS WRIGHT CORP	COM	231561101	425	3748	SH	SOLE	3748	0	0
CVB FINL CORP	COM	126600105	318	15114	SH	SOLE	15114	0	0
CVS HEALTH CORP	COM	126650100	12808	237491	SH	SOLE	237491	0	0
CYMABAY THERAPEUTICS INC	COM	23257D103	354	26682	SH	SOLE	26682	0	0
CYPRESS SEMICONDUCTOR CORP	COM	232806109	940	63023	SH	SOLE	63023	0	0
CYRUSONE INC	COM	23283R100	1759	33550	SH	SOLE	33550	0	0
CYTOKINETICS INC	COM NEW	23282W605	204	25162	SH	SOLE	25162	0	0
CYTOMX THERAPEUTICS INC	COM	23284F105	217	20163	SH	SOLE	20163	0	0
D R HORTON INC	COM	23331A109	3656	88341	SH	SOLE	88341	0	0
DANA INCORPORATED	COM	235825205	501	28227	SH	SOLE	28227	0	0
DANAHER CORPORATION	COM	235851102	12961	98178	SH	SOLE	98178	0	0
DARDEN RESTAURANTS INC	COM	237194105	4671	38451	SH	SOLE	38451	0	0
DARLING INGREDIENTS INC	COM	237266101	499	23056	SH	SOLE	23056	0	0
DAVE & BUSTERS ENTMT INC	COM	238337109	266	5330	SH	SOLE	5330	0	0
DAVITA INC	COM	23918K108	1957	36039	SH	SOLE	36039	0	0
DEAN FOODS CO NEW	COM NEW	242370203	39	12925	SH	SOLE	12925	0	0
DECIPHERA PHARMACEUTICALS IN	COM	24344T101	319	13750	SH	SOLE	13750	0	0
DECKERS OUTDOOR CORP	COM	243537107	831	5654	SH	SOLE	5654	0	0
DEERE & CO	COM	244199105	6159	38533	SH	SOLE	38533	0	0
DELEK US HLDGS INC NEW	COM	24665A103	489	13433	SH	SOLE	13433	0	0
DELL TECHNOLOGIES INC	CL C	24703L202	403	6860	SH	SOLE	6860	0	0
DELTA AIR LINES INC DEL	COM NEW	247361702	4815	93233	SH	SOLE	93233	0	0
DELUXE CORP	COM	248019101	388	8871	SH	SOLE	8871	0	0
DENALI THERAPEUTICS INC	COM	24823R105	864	37211	SH	SOLE	37211	0	0
DENBURY RES INC	COM NEW	247916208	130	63244	SH	SOLE	63244	0	0
DENTSPLY SIRONA INC	COM	24906P109	1727	34819	SH	SOLE	34819	0	0
DERMIRA INC	COM	24983L104	246	18165	SH	SOLE	18165	0	0
DEVON ENERGY CORP NEW	COM	25179M103	3256	103159	SH	SOLE	103159	0	0
DEXCOM INC	COM	252131107	430	3609	SH	SOLE	3609	0	0
DIAMONDBACK ENERGY INC	COM	25278X109	3048	30019	SH	SOLE	30019	0	0
DIAMONDROCK HOSPITALITY CO	COM	252784301	804	74200	SH	SOLE	74200	0	0
DICERNA PHARMACEUTICALS INC	COM	253031108	398	27156	SH	SOLE	27156	0	0
DICKS SPORTING GOODS INC	COM	253393102	239	6498	SH	SOLE	6498	0	0
DIEBOLD NXDF INC	COM	253651103	118	10647	SH	SOLE	10647	0	0
DIGITAL RLTY TR INC	COM	253868103	8486	71312	SH	SOLE	71312	0	0
DILLARDS INC	CL A	254067101	203	2823	SH	SOLE	2823	0	0
DINE BRANDS GLOBAL INC	COM	254423106	213	2329	SH	SOLE	2329	0	0
DISCOVER FINL SVCS	COM	254709108	8654	121610	SH	SOLE	121610	0	0
DISCOVERY INC	COM SER A	25470F104	2802	103705	SH	SOLE	103705	0	0
DISCOVERY INC	COM SER C	25470F302	1161	45658	SH	SOLE	45658	0	0
DISH NETWORK CORP	CL A	25470M109	1286	40569	SH	SOLE	40569	0	0
DISNEY WALT CO	COM DISNEY	254687106	51763	466205	SH	SOLE	466205	0	0
DOLLAR GEN CORP NEW	COM	256677105	4411	36972	SH	SOLE	36972	0	0
DOLLAR TREE INC	COM	256746108	18239	173637	SH	SOLE	173637	0	0
DOMINION ENERGY INC	COM	25746U109	7816	101952	SH	SOLE	101952	0	0
DOMINOS PIZZA INC	COM	25754A201	925	3585	SH	SOLE	3585	0	0
DOMTAR CORP	COM NEW	257559203	451	9091	SH	SOLE	9091	0	0
DONALDSON INC	COM	257651109	11810	235907	SH	SOLE	235907	0	0
DORMAN PRODUCTS INC	COM	258278100	331	3758	SH	SOLE	3758	0	0
DOUGLAS EMMETT INC	COM	25960P109	2026	50129	SH	SOLE	50129	0	0
DOVA PHARMACEUTICALS INC	COM	25985T102	97	10860	SH	SOLE	10860	0	0
DOVER CORP	COM	260003108	90091	960459	SH	SOLE	960459	0	0
DOWDUPONT INC	COM	26078J100	31859	597619	SH	SOLE	597619	0	0
DRIL QUIP INC	COM	262037104	326	7108	SH	SOLE	7108	0	0
DSW INC	CL A	23334L102	211	9478	SH	SOLE	9478	0	0
DTE ENERGY CO	COM	233331107	5803	46521	SH	SOLE	46521	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	8362	92907	SH	SOLE	92907	0	0
DUKE REALTY CORP	COM NEW	264411505	6383	208738	SH	SOLE	208738	0	0
DULUTH HLDGS INC	COM CL B	26443V101	1414	59307	SH	SOLE	59307	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	543	7226	SH	SOLE	7226	0	0
DURECT CORP	COM	266605104	11	17043	SH	SOLE	17043	0	0
DXC TECHNOLOGY CO	COM	23355L106	2787	43340	SH	SOLE	43340	0	0
DYCOM INDS INC	COM	267475101	278	6050	SH	SOLE	6050	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	5302	114185	SH	SOLE	114185	0	0
EAGLE BANCORP INC MD	COM	268948106	220	4379	SH	SOLE	4379	0	0
EAGLE MATERIALS INC	COM	26969P108	338	4008	SH	SOLE	4008	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	312	6179	SH	SOLE	6179	0	0
EAST WEST BANCORP INC	COM	27579R104	1462	30479	SH	SOLE	30479	0	0
EASTGROUP PPTY INC	COM	277276101	1469	13158	SH	SOLE	13158	0	0
EASTMAN CHEMICAL CO	COM	277432100	4326	57005	SH	SOLE	57005	0	0
EATON CORP PLC	SHS	G29183103	4134	51313	SH	SOLE	51313	0	0
EATON VANCE CORP	COM NON VTG	278265103	11769	291971	SH	SOLE	291971	0	0
EBAY INC	COM	278642103	29101	783554	SH	SOLE	783554	0	0
ECOLAB INC	COM	278865100	92088	521628	SH	SOLE	521628	0	0
EDGEWELL PERS CARE CO	COM	28035Q102	461	10504	SH	SOLE	10504	0	0
EDISON INTL	COM	281020107	5389	87032	SH	SOLE	87032	0	0
EDITAS MEDICINE INC	COM	28106W103	520	21267	SH	SOLE	21267	0	0
EDWARDS LIFESCIENCES CORP	COM	28176E108	6756	35311	SH	SOLE	35311	0	0
EIDOS THERAPEUTICS INC	COM	28249H104	334	14248	SH	SOLE	14248	0	0
EL PASO ELEC CO	COM NEW	283677854	355	6036	SH	SOLE	6036	0	0
ELANCO ANIMAL HEALTH INC	COM	28414H103	472	14715	SH	SOLE	14715	0	0
ELDORADO RESORTS INC	COM	28470R102	585	12537	SH	SOLE	12537	0	0
ELECTRONIC ARTS INC	COM	285512109	24098	237116	SH	SOLE	237116	0	0
ELEMENT SOLUTIONS INC	COM	28618M106	145	14313	SH	SOLE	14313	0	0
ELLIE MAE INC	COM	28849P100	528	5348	SH	SOLE	5348	0	0
ELOXX PHARMACEUTICALS INC	COM	29014R103	168	14369	SH	SOLE	14369	0	0
EMCOR GROUP INC	COM	29084Q100	815	11147	SH	SOLE	11147	0	0
EMERGENT BIOSOLUTIONS INC	COM	29089Q105	315	6244	SH	SOLE	6244	0	0
EMERSON ELEC CO	COM	291011104	84865	1239446	SH	SOLE	1239446	0	0
ENANTA PHARMACEUTICALS INC	COM	29251M106	848	8879	SH	SOLE	8879	0	0
ENCOMPASS HEALTH CORP	COM	29261A100	712	12187	SH	SOLE	12187	0	0
ENDO INTL PLC	SHS	G30401106	919	114392	SH	SOLE	114392	0	0
ENERGIZER HLDGS INC NEW	COM	29272W109	243	5408	SH	SOLE	5408	0	0
ENERSYS	COM	29275Y102	553	8482	SH	SOLE	8482	0	0
ENSCO PLC	SHS CLASS A	G3157S106	249	63328	SH	SOLE	63328	0	0
ENSIGN GROUP INC	COM	29358P101	10089	197094	SH	SOLE	197094	0	0
ENSTAR GROUP LIMITED	SHS	G3075P101	562	3231	SH	SOLE	3231	0	0
ENTEGRIS INC	COM	29362U104	986	27624	SH	SOLE	27624	0	0
ENTERCOM COMMUNICATIONS CORP	CL A	293639100	73	13924	SH	SOLE	13924	0	0
ENTERGY CORP NEW	COM	29364G103	5132	53663	SH	SOLE	53663	0	0
ENVESTNET INC	COM	29404K106	318	4858	SH	SOLE	4858	0	0
EOG RES INC	COM	26875P101	13489	141724	SH	SOLE	141724	0	0
EPAM SYS INC	COM	29414B104	393	2321	SH	SOLE	2321	0	0
EPIZYME INC	COM	29428V104	414	33385	SH	SOLE	33385	0	0
EPR PPTYS	COM SH BEN INT	26884U109	1786	23222	SH	SOLE	23222	0	0
EQT CORP	COM	26884L109	756	36456	SH	SOLE	36456	0	0
EQUIFAX INC	COM	294429105	1728	14581	SH	SOLE	14581	0	0
EQUINIX INC	COM	29444U700	12949	28574	SH	SOLE	28574	0	0
EQUITRANS MIDSTREAM CORPORAT	COM	294600101	631	28990	SH	SOLE	28990	0	0
EQUITY COMWLTH	COM SH BEN INT	294628102	904	27639	SH	SOLE	27639	0	0
EQUITY LIFESTYLE PPTYS INC	COM	29472R108	2335	20429	SH	SOLE	20429	0	0
EQUITY RESIDENTIAL	SH BEN INT	29476L107	9563	126962	SH	SOLE	126962	0	0
ERIE INDTY CO	CL A	29530P102	451	2527	SH	SOLE	2527	0	0
ESCO TECHNOLOGIES INC	COM	296315104	236	3516	SH	SOLE	3516	0	0
ESPERION THERAPEUTICS INC NE	COM	29664W105	466	11600	SH	SOLE	11600	0	0
ESSENT GROUP LTD	COM	G3198U102	997	22954	SH	SOLE	22954	0	0
ESSEX PPTY TR INC	COM	297178105	6520	22541	SH	SOLE	22541	0	0
ETSY INC	COM	29786A106	4994	74299	SH	SOLE	74299	0	0
EVERBRIDGE INC	COM	29978A104	238	3170	SH	SOLE	3170	0	0
EVERCORE INC	CLASS A	29977A105	783	8606	SH	SOLE	8606	0	0
EVEREST RE GROUP LTD	COM	G3223R108	4638	21474	SH	SOLE	21474	0	0
EVERGY INC	COM	30034W106	4695	80877	SH	SOLE	80877	0	0
EVERSOURCE ENERGY	COM	30040W108	2871	40462	SH	SOLE	40462	0	0
EVERTEC INC	COM	30040P103	232	8356	SH	SOLE	8356	0	0
EVOLUS INC	COM	30052C107	232	10278	SH	SOLE	10278	0	0
EXACT SCIENCES CORP	COM	30063P105	437	5049	SH	SOLE	5049	0	0
EXELIXIS INC	COM	30161Q104	3304	138826	SH	SOLE	138826	0	0
EXELON CORP	COM	30161N101	9786	195204	SH	SOLE	195204	0	0
EXLSERVICE HOLDINGS INC	COM	302081104	277	4618	SH	SOLE	4618	0	0
EXPEDIA GROUP INC	COM NEW	30212P303	11707	98378	SH	SOLE	98378	0	0
EXPEDITORS INTL WASH INC	COM	302130109	1575	20754	SH	SOLE	20754	0	0
EXPONENT INC	COM	30214U102	409	7092	SH	SOLE	7092	0	0
EXTRA SPACE STORAGE INC	COM	30225T102	7133	69991	SH	SOLE	69991	0	0
EXTREME NETWORKS INC	COM	30226D106	123	16398	SH	SOLE	16398	0	0
EXXON MOBIL CORP	COM	30231G102	163098	2018543	SH	SOLE	2018543	0	0
EYEPOINT PHARMACEUTICALS INC	COM	30233G100	58	32264	SH	SOLE	32264	0	0
F M C CORP	COM NEW	302491303	2114	27522	SH	SOLE	27522	0	0
F5 NETWORKS INC	COM	315616102	3076	19600	SH	SOLE	19600	0	0
FABRINET	SHS	G3323L100	261	4982	SH	SOLE	4982	0	0
FACEBOOK INC	CL A	30303M102	295199	1770944	SH	SOLE	1770944	0	0
FACTSET RESH SYS INC	COM	303075105	14216	57259	SH	SOLE	57259	0	0
FAIR ISAAC CORP	COM	303250104	1011	3722	SH	SOLE	3722	0	0
FASTENAL CO	COM	311900104	13791	214442	SH	SOLE	214442	0	0
FATE THERAPEUTICS INC	COM	31189P102	501	28513	SH	SOLE	28513	0	0
FEDERAL REALTY INVT TR	SH BEN INT NEW	313747206	83736	607443	SH	SOLE	607443	0	0
FEDERAL SIGNAL CORP	COM	313855108	213	8192	SH	SOLE	8192	0	0
FEDERATED INVS INC PA	CL B	314211103	899	30684	SH	SOLE	30684	0	0
FEDEX CORP	COM	31428X106	5277	29087	SH	SOLE	29087	0	0
FERRO CORP	COM	315405100	217	11449	SH	SOLE	11449	0	0
FGL HLDGS	ORD SHS	G3402M102	125	15936	SH	SOLE	15936	0	0
FIBROGEN INC	COM	31572Q808	2196	40401	SH	SOLE	40401	0	0
FIDELITY NATIONAL FINANCIAL	FNF GROUP COM	31620R303	1285	35155	SH	SOLE	35155	0	0
FIDELITY NATL INFORMATION SV	COM	31620M106	4407	38963	SH	SOLE	38963	0	0
FIFTH THIRD BANCORP	COM	316773100	7513	297915	SH	SOLE	297915	0	0
FINISAR CORP	COM NEW	31787A507	505	21796	SH	SOLE	21796	0	0
FIRST AMERN FINL CORP	COM	31847R102	1208	23462	SH	SOLE	23462	0	0
FIRST BANCORP P R	COM NEW	318672706	338	29499	SH	SOLE	29499	0	0
FIRST COMWLTH FINL CORP PA	COM	319829107	170	13497	SH	SOLE	13497	0	0
FIRST CTZNS BANCSHARES INC N	CL A	31946M103	453	1112	SH	SOLE	1112	0	0
FIRST FINL BANCORP OH	COM	320209109	318	13219	SH	SOLE	13219	0	0
FIRST FINL BANKSHARES	COM	32020R109	1231	21304	SH	SOLE	21304	0	0
FIRST HAWAIIAN INC	COM	32051X108	301	11542	SH	SOLE	11542	0	0
FIRST HORIZON NATL CORP	COM	320517105	936	66932	SH	SOLE	66932	0	0
FIRST INDUSTRIAL REALTY TRUS	COM	32054K103	1865	52756	SH	SOLE	52756	0	0
FIRST LONG IS CORP	COM	320734106	8999	410340	SH	SOLE	410340	0	0
FIRST MERCHANTS CORP	COM	320817109	218	5904	SH	SOLE	5904	0	0
FIRST MIDWEST BANCORP DEL	COM	320867104	298	14574	SH	SOLE	14574	0	0
FIRST REP BK SAN FRANCISCO C	COM	33616C100	4162	41431	SH	SOLE	41431	0	0
FIRST SOLAR INC	COM	336433107	571	10814	SH	SOLE	10814	0	0
FIRSTCASH INC	COM	33767D105	990	11443	SH	SOLE	11443	0	0
FIRSTENERGY CORP	COM	337932107	2674	64271	SH	SOLE	64271	0	0
FISERV INC	COM	337738108	25205	285516	SH	SOLE	285516	0	0
FITBIT INC	CL A	33812L102	138	23265	SH	SOLE	23265	0	0
FIVE BELOW INC	COM	33829M101	1343	10808	SH	SOLE	10808	0	0
FIVE PRIME THERAPEUTICS INC	COM	33830X104	210	15702	SH	SOLE	15702	0	0
FIVE9 INC	COM	338307101	330	6238	SH	SOLE	6238	0	0
FLEETCOR TECHNOLOGIES INC	COM	339041105	2553	10355	SH	SOLE	10355	0	0
FLEXION THERAPEUTICS INC	COM	33938J106	207	16557	SH	SOLE	16557	0	0
FLIR SYS INC	COM	302445101	778	16347	SH	SOLE	16347	0	0
FLOWERS FOODS INC	COM	343498101	11941	560063	SH	SOLE	560063	0	0
FLOWSERVE CORP	COM	34354P105	715	15848	SH	SOLE	15848	0	0
FLUOR CORP NEW	COM	343412102	914	24842	SH	SOLE	24842	0	0
FLWS/1-800 FLOWERS	CL A	68243Q106	1351	74087	SH	SOLE	74087	0	0
FNB CORP PA	COM	302520101	724	68300	SH	SOLE	68300	0	0
FOAMIX PHARMACEUTICALS LTD	SHS	M46135105	69	18468	SH	SOLE	18468	0	0
FOOT LOCKER INC	COM	344849104	1415	23343	SH	SOLE	23343	0	0
FORD MTR CO DEL	COM	345370860	6994	796560	SH	SOLE	796560	0	0
FORMFACTOR INC	COM	346375108	164	10185	SH	SOLE	10185	0	0
FORTINET INC	COM	34959E109	3899	46432	SH	SOLE	46432	0	0
FORTIVE CORP	COM	34959J108	2982	35552	SH	SOLE	35552	0	0
FORTUNE BRANDS HOME & SEC IN	COM	34964C106	809	17001	SH	SOLE	17001	0	0
FORTY SEVEN INC	COM	34983P104	195	12073	SH	SOLE	12073	0	0
FORWARD AIR CORP	COM	349853101	257	3965	SH	SOLE	3965	0	0
FOUR CORNERS PPTY TR INC	COM	35086T109	276	9336	SH	SOLE	9336	0	0
FOX CORP	CL A COM	35137L105	9856	268496	SH	SOLE	268496	0	0
FOX CORP	CL B COM	35137L204	6532	182062	SH	SOLE	182062	0	0
FOX FACTORY HLDG CORP	COM	35138V102	351	5017	SH	SOLE	5017	0	0
FRANKLIN ELEC INC	COM	353514102	9357	183156	SH	SOLE	183156	0	0
FRANKLIN RES INC	COM	354613101	79594	2401738	SH	SOLE	2401738	0	0
FRANKLIN STREET PPTYS CORP	COM	35471R106	104	14425	SH	SOLE	14425	0	0
FREEPORT-MCMORAN INC	CL B	35671D857	3828	296961	SH	SOLE	296961	0	0
FRONTIER COMMUNICATIONS CORP	COM NEW	35906A306	31	15624	SH	SOLE	15624	0	0
FTI CONSULTING INC	COM	302941109	415	5399	SH	SOLE	5399	0	0
FUELCELL ENERGY INC	COM NEW	35952H502	3	10750	SH	SOLE	10750	0	0
FULLER H B CO	COM	359694106	9575	196858	SH	SOLE	196858	0	0
